"Country or Area","Year(s)","Variant","Value"
"Faroe Islands","2100","Medium","68.513"
"Faroe Islands","2100","High","94.333"
"Faroe Islands","2100","Low","48.336"
"Faroe Islands","2100","Constant fertility","98.499"
"Faroe Islands","2100","Instant replacement","61.375"
"Faroe Islands","2100","Zero migration","68.513"
"Faroe Islands","2100","Constant mortality","61.002"
"Faroe Islands","2100","No change","90.413"
"Faroe Islands","2100","Momentum","54.303"
"Faroe Islands","2100","Instant replacement zero migration","61.375"
"Faroe Islands","2100","Median PI","68.513"
"Faroe Islands","2100","Upper 80 PI","89.441"
"Faroe Islands","2100","Lower 80 PI","55.071"
"Faroe Islands","2100","Upper 95 PI","102.069"
"Faroe Islands","2100","Lower 95 PI","49.658"
"Faroe Islands","2099","Medium","68.44"
"Faroe Islands","2099","High","93.639"
"Faroe Islands","2099","Low","48.648"
"Faroe Islands","2099","Constant fertility","97.504"
"Faroe Islands","2099","Instant replacement","61.295"
"Faroe Islands","2099","Zero migration","68.44"
"Faroe Islands","2099","Constant mortality","61.06"
"Faroe Islands","2099","No change","89.582"
"Faroe Islands","2099","Momentum","54.316"
"Faroe Islands","2099","Instant replacement zero migration","61.295"
"Faroe Islands","2099","Median PI","68.44"
"Faroe Islands","2099","Upper 80 PI","88.826"
"Faroe Islands","2099","Lower 80 PI","55.21"
"Faroe Islands","2099","Upper 95 PI","101.148"
"Faroe Islands","2099","Lower 95 PI","49.862"
"Faroe Islands","2098","Medium","68.365"
"Faroe Islands","2098","High","92.942"
"Faroe Islands","2098","Low","48.954"
"Faroe Islands","2098","Constant fertility","96.522"
"Faroe Islands","2098","Instant replacement","61.218"
"Faroe Islands","2098","Zero migration","68.365"
"Faroe Islands","2098","Constant mortality","61.111"
"Faroe Islands","2098","No change","88.765"
"Faroe Islands","2098","Momentum","54.333"
"Faroe Islands","2098","Instant replacement zero migration","61.218"
"Faroe Islands","2098","Median PI","68.364"
"Faroe Islands","2098","Upper 80 PI","88.279"
"Faroe Islands","2098","Lower 80 PI","55.384"
"Faroe Islands","2098","Upper 95 PI","100.087"
"Faroe Islands","2098","Lower 95 PI","50.13"
"Faroe Islands","2097","Medium","68.281"
"Faroe Islands","2097","High","92.243"
"Faroe Islands","2097","Low","49.249"
"Faroe Islands","2097","Constant fertility","95.55"
"Faroe Islands","2097","Instant replacement","61.141"
"Faroe Islands","2097","Zero migration","68.281"
"Faroe Islands","2097","Constant mortality","61.161"
"Faroe Islands","2097","No change","87.959"
"Faroe Islands","2097","Momentum","54.356"
"Faroe Islands","2097","Instant replacement zero migration","61.141"
"Faroe Islands","2097","Median PI","68.281"
"Faroe Islands","2097","Upper 80 PI","87.685"
"Faroe Islands","2097","Lower 80 PI","55.596"
"Faroe Islands","2097","Upper 95 PI","99.041"
"Faroe Islands","2097","Lower 95 PI","50.387"
"Faroe Islands","2096","Medium","68.187"
"Faroe Islands","2096","High","91.54"
"Faroe Islands","2096","Low","49.536"
"Faroe Islands","2096","Constant fertility","94.585"
"Faroe Islands","2096","Instant replacement","61.063"
"Faroe Islands","2096","Zero migration","68.187"
"Faroe Islands","2096","Constant mortality","61.205"
"Faroe Islands","2096","No change","87.164"
"Faroe Islands","2096","Momentum","54.388"
"Faroe Islands","2096","Instant replacement zero migration","61.063"
"Faroe Islands","2096","Median PI","68.187"
"Faroe Islands","2096","Upper 80 PI","87.06"
"Faroe Islands","2096","Lower 80 PI","55.841"
"Faroe Islands","2096","Upper 95 PI","97.999"
"Faroe Islands","2096","Lower 95 PI","50.593"
"Faroe Islands","2095","Medium","68.09"
"Faroe Islands","2095","High","90.838"
"Faroe Islands","2095","Low","49.819"
"Faroe Islands","2095","Constant fertility","93.633"
"Faroe Islands","2095","Instant replacement","60.987"
"Faroe Islands","2095","Zero migration","68.09"
"Faroe Islands","2095","Constant mortality","61.239"
"Faroe Islands","2095","No change","86.377"
"Faroe Islands","2095","Momentum","54.423"
"Faroe Islands","2095","Instant replacement zero migration","60.987"
"Faroe Islands","2095","Median PI","68.09"
"Faroe Islands","2095","Upper 80 PI","86.487"
"Faroe Islands","2095","Lower 80 PI","56.068"
"Faroe Islands","2095","Upper 95 PI","97.085"
"Faroe Islands","2095","Lower 95 PI","50.815"
"Faroe Islands","2094","Medium","67.987"
"Faroe Islands","2094","High","90.141"
"Faroe Islands","2094","Low","50.095"
"Faroe Islands","2094","Constant fertility","92.694"
"Faroe Islands","2094","Instant replacement","60.916"
"Faroe Islands","2094","Zero migration","67.987"
"Faroe Islands","2094","Constant mortality","61.264"
"Faroe Islands","2094","No change","85.597"
"Faroe Islands","2094","Momentum","54.453"
"Faroe Islands","2094","Instant replacement zero migration","60.916"
"Faroe Islands","2094","Median PI","67.987"
"Faroe Islands","2094","Upper 80 PI","85.85"
"Faroe Islands","2094","Lower 80 PI","56.209"
"Faroe Islands","2094","Upper 95 PI","96.144"
"Faroe Islands","2094","Lower 95 PI","51.049"
"Faroe Islands","2093","Medium","67.874"
"Faroe Islands","2093","High","89.445"
"Faroe Islands","2093","Low","50.359"
"Faroe Islands","2093","Constant fertility","91.761"
"Faroe Islands","2093","Instant replacement","60.84"
"Faroe Islands","2093","Zero migration","67.874"
"Faroe Islands","2093","Constant mortality","61.295"
"Faroe Islands","2093","No change","84.829"
"Faroe Islands","2093","Momentum","54.493"
"Faroe Islands","2093","Instant replacement zero migration","60.84"
"Faroe Islands","2093","Median PI","67.874"
"Faroe Islands","2093","Upper 80 PI","85.29"
"Faroe Islands","2093","Lower 80 PI","56.35"
"Faroe Islands","2093","Upper 95 PI","95.176"
"Faroe Islands","2093","Lower 95 PI","51.335"
"Faroe Islands","2092","Medium","67.753"
"Faroe Islands","2092","High","88.75"
"Faroe Islands","2092","Low","50.61"
"Faroe Islands","2092","Constant fertility","90.84"
"Faroe Islands","2092","Instant replacement","60.766"
"Faroe Islands","2092","Zero migration","67.753"
"Faroe Islands","2092","Constant mortality","61.321"
"Faroe Islands","2092","No change","84.078"
"Faroe Islands","2092","Momentum","54.545"
"Faroe Islands","2092","Instant replacement zero migration","60.766"
"Faroe Islands","2092","Median PI","67.753"
"Faroe Islands","2092","Upper 80 PI","84.822"
"Faroe Islands","2092","Lower 80 PI","56.497"
"Faroe Islands","2092","Upper 95 PI","94.364"
"Faroe Islands","2092","Lower 95 PI","51.649"
"Faroe Islands","2091","Medium","67.627"
"Faroe Islands","2091","High","88.06"
"Faroe Islands","2091","Low","50.853"
"Faroe Islands","2091","Constant fertility","89.938"
"Faroe Islands","2091","Instant replacement","60.69"
"Faroe Islands","2091","Zero migration","67.627"
"Faroe Islands","2091","Constant mortality","61.333"
"Faroe Islands","2091","No change","83.335"
"Faroe Islands","2091","Momentum","54.593"
"Faroe Islands","2091","Instant replacement zero migration","60.69"
"Faroe Islands","2091","Median PI","67.627"
"Faroe Islands","2091","Upper 80 PI","84.307"
"Faroe Islands","2091","Lower 80 PI","56.585"
"Faroe Islands","2091","Upper 95 PI","93.567"
"Faroe Islands","2091","Lower 95 PI","51.9"
"Faroe Islands","2090","Medium","67.501"
"Faroe Islands","2090","High","87.377"
"Faroe Islands","2090","Low","51.094"
"Faroe Islands","2090","Constant fertility","89.047"
"Faroe Islands","2090","Instant replacement","60.612"
"Faroe Islands","2090","Zero migration","67.501"
"Faroe Islands","2090","Constant mortality","61.337"
"Faroe Islands","2090","No change","82.598"
"Faroe Islands","2090","Momentum","54.64"
"Faroe Islands","2090","Instant replacement zero migration","60.612"
"Faroe Islands","2090","Median PI","67.501"
"Faroe Islands","2090","Upper 80 PI","83.789"
"Faroe Islands","2090","Lower 80 PI","56.658"
"Faroe Islands","2090","Upper 95 PI","92.83"
"Faroe Islands","2090","Lower 95 PI","52.079"
"Faroe Islands","2089","Medium","67.366"
"Faroe Islands","2089","High","86.7"
"Faroe Islands","2089","Low","51.321"
"Faroe Islands","2089","Constant fertility","88.165"
"Faroe Islands","2089","Instant replacement","60.535"
"Faroe Islands","2089","Zero migration","67.366"
"Faroe Islands","2089","Constant mortality","61.339"
"Faroe Islands","2089","No change","81.871"
"Faroe Islands","2089","Momentum","54.683"
"Faroe Islands","2089","Instant replacement zero migration","60.535"
"Faroe Islands","2089","Median PI","67.366"
"Faroe Islands","2089","Upper 80 PI","83.262"
"Faroe Islands","2089","Lower 80 PI","56.77"
"Faroe Islands","2089","Upper 95 PI","92.175"
"Faroe Islands","2089","Lower 95 PI","52.251"
"Faroe Islands","2088","Medium","67.222"
"Faroe Islands","2088","High","86.022"
"Faroe Islands","2088","Low","51.533"
"Faroe Islands","2088","Constant fertility","87.296"
"Faroe Islands","2088","Instant replacement","60.451"
"Faroe Islands","2088","Zero migration","67.222"
"Faroe Islands","2088","Constant mortality","61.337"
"Faroe Islands","2088","No change","81.156"
"Faroe Islands","2088","Momentum","54.718"
"Faroe Islands","2088","Instant replacement zero migration","60.451"
"Faroe Islands","2088","Median PI","67.222"
"Faroe Islands","2088","Upper 80 PI","82.7"
"Faroe Islands","2088","Lower 80 PI","56.855"
"Faroe Islands","2088","Upper 95 PI","91.501"
"Faroe Islands","2088","Lower 95 PI","52.399"
"Faroe Islands","2087","Medium","67.077"
"Faroe Islands","2087","High","85.356"
"Faroe Islands","2087","Low","51.747"
"Faroe Islands","2087","Constant fertility","86.444"
"Faroe Islands","2087","Instant replacement","60.363"
"Faroe Islands","2087","Zero migration","67.077"
"Faroe Islands","2087","Constant mortality","61.319"
"Faroe Islands","2087","No change","80.448"
"Faroe Islands","2087","Momentum","54.743"
"Faroe Islands","2087","Instant replacement zero migration","60.363"
"Faroe Islands","2087","Median PI","67.077"
"Faroe Islands","2087","Upper 80 PI","82.19"
"Faroe Islands","2087","Lower 80 PI","56.957"
"Faroe Islands","2087","Upper 95 PI","90.831"
"Faroe Islands","2087","Lower 95 PI","52.549"
"Faroe Islands","2086","Medium","66.927"
"Faroe Islands","2086","High","84.702"
"Faroe Islands","2086","Low","51.953"
"Faroe Islands","2086","Constant fertility","85.603"
"Faroe Islands","2086","Instant replacement","60.273"
"Faroe Islands","2086","Zero migration","66.927"
"Faroe Islands","2086","Constant mortality","61.296"
"Faroe Islands","2086","No change","79.754"
"Faroe Islands","2086","Momentum","54.77"
"Faroe Islands","2086","Instant replacement zero migration","60.273"
"Faroe Islands","2086","Median PI","66.927"
"Faroe Islands","2086","Upper 80 PI","81.72"
"Faroe Islands","2086","Lower 80 PI","57.092"
"Faroe Islands","2086","Upper 95 PI","90.08"
"Faroe Islands","2086","Lower 95 PI","52.752"
"Faroe Islands","2085","Medium","66.766"
"Faroe Islands","2085","High","84.048"
"Faroe Islands","2085","Low","52.142"
"Faroe Islands","2085","Constant fertility","84.772"
"Faroe Islands","2085","Instant replacement","60.177"
"Faroe Islands","2085","Zero migration","66.766"
"Faroe Islands","2085","Constant mortality","61.266"
"Faroe Islands","2085","No change","79.066"
"Faroe Islands","2085","Momentum","54.786"
"Faroe Islands","2085","Instant replacement zero migration","60.177"
"Faroe Islands","2085","Median PI","66.766"
"Faroe Islands","2085","Upper 80 PI","81.196"
"Faroe Islands","2085","Lower 80 PI","57.199"
"Faroe Islands","2085","Upper 95 PI","89.326"
"Faroe Islands","2085","Lower 95 PI","52.953"
"Faroe Islands","2084","Medium","66.603"
"Faroe Islands","2084","High","83.4"
"Faroe Islands","2084","Low","52.324"
"Faroe Islands","2084","Constant fertility","83.954"
"Faroe Islands","2084","Instant replacement","60.072"
"Faroe Islands","2084","Zero migration","66.603"
"Faroe Islands","2084","Constant mortality","61.224"
"Faroe Islands","2084","No change","78.38"
"Faroe Islands","2084","Momentum","54.79"
"Faroe Islands","2084","Instant replacement zero migration","60.072"
"Faroe Islands","2084","Median PI","66.602"
"Faroe Islands","2084","Upper 80 PI","80.668"
"Faroe Islands","2084","Lower 80 PI","57.284"
"Faroe Islands","2084","Upper 95 PI","88.547"
"Faroe Islands","2084","Lower 95 PI","53.109"
"Faroe Islands","2083","Medium","66.436"
"Faroe Islands","2083","High","82.756"
"Faroe Islands","2083","Low","52.498"
"Faroe Islands","2083","Constant fertility","83.148"
"Faroe Islands","2083","Instant replacement","59.959"
"Faroe Islands","2083","Zero migration","66.436"
"Faroe Islands","2083","Constant mortality","61.179"
"Faroe Islands","2083","No change","77.706"
"Faroe Islands","2083","Momentum","54.787"
"Faroe Islands","2083","Instant replacement zero migration","59.959"
"Faroe Islands","2083","Median PI","66.436"
"Faroe Islands","2083","Upper 80 PI","80.142"
"Faroe Islands","2083","Lower 80 PI","57.336"
"Faroe Islands","2083","Upper 95 PI","87.697"
"Faroe Islands","2083","Lower 95 PI","53.229"
"Faroe Islands","2082","Medium","66.269"
"Faroe Islands","2082","High","82.123"
"Faroe Islands","2082","Low","52.666"
"Faroe Islands","2082","Constant fertility","82.356"
"Faroe Islands","2082","Instant replacement","59.84"
"Faroe Islands","2082","Zero migration","66.269"
"Faroe Islands","2082","Constant mortality","61.127"
"Faroe Islands","2082","No change","77.043"
"Faroe Islands","2082","Momentum","54.779"
"Faroe Islands","2082","Instant replacement zero migration","59.84"
"Faroe Islands","2082","Median PI","66.268"
"Faroe Islands","2082","Upper 80 PI","79.617"
"Faroe Islands","2082","Lower 80 PI","57.367"
"Faroe Islands","2082","Upper 95 PI","86.859"
"Faroe Islands","2082","Lower 95 PI","53.345"
"Faroe Islands","2081","Medium","66.099"
"Faroe Islands","2081","High","81.498"
"Faroe Islands","2081","Low","52.829"
"Faroe Islands","2081","Constant fertility","81.575"
"Faroe Islands","2081","Instant replacement","59.715"
"Faroe Islands","2081","Zero migration","66.099"
"Faroe Islands","2081","Constant mortality","61.063"
"Faroe Islands","2081","No change","76.383"
"Faroe Islands","2081","Momentum","54.764"
"Faroe Islands","2081","Instant replacement zero migration","59.715"
"Faroe Islands","2081","Median PI","66.099"
"Faroe Islands","2081","Upper 80 PI","79.096"
"Faroe Islands","2081","Lower 80 PI","57.395"
"Faroe Islands","2081","Upper 95 PI","86.111"
"Faroe Islands","2081","Lower 95 PI","53.45"
"Faroe Islands","2080","Medium","65.918"
"Faroe Islands","2080","High","80.869"
"Faroe Islands","2080","Low","52.984"
"Faroe Islands","2080","Constant fertility","80.802"
"Faroe Islands","2080","Instant replacement","59.583"
"Faroe Islands","2080","Zero migration","65.918"
"Faroe Islands","2080","Constant mortality","60.995"
"Faroe Islands","2080","No change","75.73"
"Faroe Islands","2080","Momentum","54.739"
"Faroe Islands","2080","Instant replacement zero migration","59.583"
"Faroe Islands","2080","Median PI","65.918"
"Faroe Islands","2080","Upper 80 PI","78.545"
"Faroe Islands","2080","Lower 80 PI","57.433"
"Faroe Islands","2080","Upper 95 PI","85.506"
"Faroe Islands","2080","Lower 95 PI","53.55"
"Faroe Islands","2079","Medium","65.731"
"Faroe Islands","2079","High","80.241"
"Faroe Islands","2079","Low","53.13"
"Faroe Islands","2079","Constant fertility","80.039"
"Faroe Islands","2079","Instant replacement","59.444"
"Faroe Islands","2079","Zero migration","65.731"
"Faroe Islands","2079","Constant mortality","60.917"
"Faroe Islands","2079","No change","75.084"
"Faroe Islands","2079","Momentum","54.703"
"Faroe Islands","2079","Instant replacement zero migration","59.444"
"Faroe Islands","2079","Median PI","65.731"
"Faroe Islands","2079","Upper 80 PI","77.997"
"Faroe Islands","2079","Lower 80 PI","57.516"
"Faroe Islands","2079","Upper 95 PI","84.848"
"Faroe Islands","2079","Lower 95 PI","53.644"
"Faroe Islands","2078","Medium","65.54"
"Faroe Islands","2078","High","79.614"
"Faroe Islands","2078","Low","53.264"
"Faroe Islands","2078","Constant fertility","79.284"
"Faroe Islands","2078","Instant replacement","59.295"
"Faroe Islands","2078","Zero migration","65.54"
"Faroe Islands","2078","Constant mortality","60.83"
"Faroe Islands","2078","No change","74.444"
"Faroe Islands","2078","Momentum","54.654"
"Faroe Islands","2078","Instant replacement zero migration","59.295"
"Faroe Islands","2078","Median PI","65.54"
"Faroe Islands","2078","Upper 80 PI","77.429"
"Faroe Islands","2078","Lower 80 PI","57.591"
"Faroe Islands","2078","Upper 95 PI","84.057"
"Faroe Islands","2078","Lower 95 PI","53.751"
"Faroe Islands","2077","Medium","65.343"
"Faroe Islands","2077","High","78.99"
"Faroe Islands","2077","Low","53.392"
"Faroe Islands","2077","Constant fertility","78.534"
"Faroe Islands","2077","Instant replacement","59.147"
"Faroe Islands","2077","Zero migration","65.343"
"Faroe Islands","2077","Constant mortality","60.736"
"Faroe Islands","2077","No change","73.811"
"Faroe Islands","2077","Momentum","54.605"
"Faroe Islands","2077","Instant replacement zero migration","59.147"
"Faroe Islands","2077","Median PI","65.343"
"Faroe Islands","2077","Upper 80 PI","76.825"
"Faroe Islands","2077","Lower 80 PI","57.63"
"Faroe Islands","2077","Upper 95 PI","83.213"
"Faroe Islands","2077","Lower 95 PI","53.864"
"Faroe Islands","2076","Medium","65.138"
"Faroe Islands","2076","High","78.364"
"Faroe Islands","2076","Low","53.511"
"Faroe Islands","2076","Constant fertility","77.789"
"Faroe Islands","2076","Instant replacement","58.993"
"Faroe Islands","2076","Zero migration","65.138"
"Faroe Islands","2076","Constant mortality","60.639"
"Faroe Islands","2076","No change","73.185"
"Faroe Islands","2076","Momentum","54.56"
"Faroe Islands","2076","Instant replacement zero migration","58.993"
"Faroe Islands","2076","Median PI","65.137"
"Faroe Islands","2076","Upper 80 PI","76.271"
"Faroe Islands","2076","Lower 80 PI","57.661"
"Faroe Islands","2076","Upper 95 PI","82.446"
"Faroe Islands","2076","Lower 95 PI","53.972"
"Faroe Islands","2075","Medium","64.924"
"Faroe Islands","2075","High","77.734"
"Faroe Islands","2075","Low","53.627"
"Faroe Islands","2075","Constant fertility","77.052"
"Faroe Islands","2075","Instant replacement","58.836"
"Faroe Islands","2075","Zero migration","64.924"
"Faroe Islands","2075","Constant mortality","60.539"
"Faroe Islands","2075","No change","72.566"
"Faroe Islands","2075","Momentum","54.51"
"Faroe Islands","2075","Instant replacement zero migration","58.836"
"Faroe Islands","2075","Median PI","64.924"
"Faroe Islands","2075","Upper 80 PI","75.715"
"Faroe Islands","2075","Lower 80 PI","57.683"
"Faroe Islands","2075","Upper 95 PI","81.674"
"Faroe Islands","2075","Lower 95 PI","54.066"
"Faroe Islands","2074","Medium","64.713"
"Faroe Islands","2074","High","77.109"
"Faroe Islands","2074","Low","53.745"
"Faroe Islands","2074","Constant fertility","76.326"
"Faroe Islands","2074","Instant replacement","58.681"
"Faroe Islands","2074","Zero migration","64.713"
"Faroe Islands","2074","Constant mortality","60.434"
"Faroe Islands","2074","No change","71.951"
"Faroe Islands","2074","Momentum","54.452"
"Faroe Islands","2074","Instant replacement zero migration","58.681"
"Faroe Islands","2074","Median PI","64.714"
"Faroe Islands","2074","Upper 80 PI","75.063"
"Faroe Islands","2074","Lower 80 PI","57.661"
"Faroe Islands","2074","Upper 95 PI","80.826"
"Faroe Islands","2074","Lower 95 PI","54.164"
"Faroe Islands","2073","Medium","64.501"
"Faroe Islands","2073","High","76.484"
"Faroe Islands","2073","Low","53.852"
"Faroe Islands","2073","Constant fertility","75.609"
"Faroe Islands","2073","Instant replacement","58.523"
"Faroe Islands","2073","Zero migration","64.501"
"Faroe Islands","2073","Constant mortality","60.316"
"Faroe Islands","2073","No change","71.339"
"Faroe Islands","2073","Momentum","54.389"
