"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Iceland","2023","Total","January - March","Data tabulated by year of occurrence","Final figure, complete","2023","670",""
"Iceland","2023","Total","April - June","Data tabulated by year of occurrence","Final figure, complete","2023","580",""
"Iceland","2022","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2023","2700",""
"Iceland","2022","Total","January - March","Data tabulated by year of occurrence","Final figure, complete","2022","760",""
"Iceland","2022","Total","April - June","Data tabulated by year of occurrence","Final figure, complete","2022","640",""
"Iceland","2022","Total","July - September","Data tabulated by year of occurrence","Final figure, complete","2022","650",""
"Iceland","2022","Total","October - December","Data tabulated by year of occurrence","Final figure, complete","2022","650",""
"Iceland","2021","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2022","2333",""
"Iceland","2021","Total","January","Data tabulated by year of occurrence","Final figure, complete","2022","208",""
"Iceland","2021","Total","February","Data tabulated by year of occurrence","Final figure, complete","2022","189",""
"Iceland","2021","Total","March","Data tabulated by year of occurrence","Final figure, complete","2022","192",""
"Iceland","2021","Total","April","Data tabulated by year of occurrence","Final figure, complete","2022","202",""
"Iceland","2021","Total","May","Data tabulated by year of occurrence","Final figure, complete","2022","188",""
"Iceland","2021","Total","June","Data tabulated by year of occurrence","Final figure, complete","2022","186",""
"Iceland","2021","Total","July","Data tabulated by year of occurrence","Final figure, complete","2022","205",""
"Iceland","2021","Total","August","Data tabulated by year of occurrence","Final figure, complete","2022","199",""
"Iceland","2021","Total","September","Data tabulated by year of occurrence","Final figure, complete","2022","164",""
"Iceland","2021","Total","October","Data tabulated by year of occurrence","Final figure, complete","2022","171",""
"Iceland","2021","Total","November","Data tabulated by year of occurrence","Final figure, complete","2022","200",""
"Iceland","2021","Total","December","Data tabulated by year of occurrence","Final figure, complete","2022","229",""
"Iceland","2020","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2022","2307",""
"Iceland","2020","Total","January - March","Data tabulated by year of occurrence","Final figure, complete","2022","620",""
"Iceland","2020","Total","April - June","Data tabulated by year of occurrence","Final figure, complete","2022","550",""
"Iceland","2020","Total","July - September","Data tabulated by year of occurrence","Final figure, complete","2022","520",""
"Iceland","2020","Total","October - December","Data tabulated by year of occurrence","Final figure, complete","2022","630",""
"Iceland","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","2275",""
"Iceland","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","178",""
