"Country or Area","Year(s)","Variant","Value"
"Iceland","2100","Medium","368.486"
"Iceland","2100","High","515.924"
"Iceland","2100","Low","254.985"
"Iceland","2100","Constant fertility","380.713"
"Iceland","2100","Instant replacement","491.426"
"Iceland","2100","Zero migration","325.346"
"Iceland","2100","Constant mortality","328.226"
"Iceland","2100","No change","340.293"
"Iceland","2100","Momentum","401.28"
"Iceland","2100","Instant replacement zero migration","441.335"
"Iceland","2100","Median PI","368.486"
"Iceland","2100","Upper 80 PI","451.565"
"Iceland","2100","Lower 80 PI","308.359"
"Iceland","2100","Upper 95 PI","511.62"
"Iceland","2100","Lower 95 PI","273.111"
"Iceland","2099","Medium","369.483"
"Iceland","2099","High","513.781"
"Iceland","2099","Low","257.793"
"Iceland","2099","Constant fertility","381.457"
"Iceland","2099","Instant replacement","489.983"
"Iceland","2099","Zero migration","326.881"
"Iceland","2099","Constant mortality","329.723"
"Iceland","2099","No change","341.551"
"Iceland","2099","Momentum","401.2"
"Iceland","2099","Instant replacement zero migration","440.628"
"Iceland","2099","Median PI","369.484"
"Iceland","2099","Upper 80 PI","451.298"
"Iceland","2099","Lower 80 PI","310.608"
"Iceland","2099","Upper 95 PI","509.696"
"Iceland","2099","Lower 95 PI","276.145"
"Iceland","2098","Medium","370.488"
"Iceland","2098","High","511.663"
"Iceland","2098","Low","260.603"
"Iceland","2098","Constant fertility","382.209"
"Iceland","2098","Instant replacement","488.542"
"Iceland","2098","Zero migration","328.417"
"Iceland","2098","Constant mortality","331.218"
"Iceland","2098","No change","342.805"
"Iceland","2098","Momentum","401.108"
"Iceland","2098","Instant replacement zero migration","439.925"
"Iceland","2098","Median PI","370.487"
"Iceland","2098","Upper 80 PI","451.01"
"Iceland","2098","Lower 80 PI","312.518"
"Iceland","2098","Upper 95 PI","507.509"
"Iceland","2098","Lower 95 PI","278.953"
"Iceland","2097","Medium","371.511"
"Iceland","2097","High","509.607"
"Iceland","2097","Low","263.435"
"Iceland","2097","Constant fertility","382.974"
"Iceland","2097","Instant replacement","487.11"
"Iceland","2097","Zero migration","329.978"
"Iceland","2097","Constant mortality","332.729"
"Iceland","2097","No change","344.063"
"Iceland","2097","Momentum","401"
"Iceland","2097","Instant replacement zero migration","439.237"
"Iceland","2097","Median PI","371.511"
"Iceland","2097","Upper 80 PI","450.487"
"Iceland","2097","Lower 80 PI","314.009"
"Iceland","2097","Upper 95 PI","504.702"
"Iceland","2097","Lower 95 PI","281.219"
"Iceland","2096","Medium","372.56"
"Iceland","2096","High","507.61"
"Iceland","2096","Low","266.29"
"Iceland","2096","Constant fertility","383.75"
"Iceland","2096","Instant replacement","485.695"
"Iceland","2096","Zero migration","331.56"
"Iceland","2096","Constant mortality","334.252"
"Iceland","2096","No change","345.329"
"Iceland","2096","Momentum","400.878"
"Iceland","2096","Instant replacement zero migration","438.56"
"Iceland","2096","Median PI","372.56"
"Iceland","2096","Upper 80 PI","449.885"
"Iceland","2096","Lower 80 PI","315.749"
"Iceland","2096","Upper 95 PI","501.788"
"Iceland","2096","Lower 95 PI","283.281"
"Iceland","2095","Medium","373.622"
"Iceland","2095","High","505.663"
"Iceland","2095","Low","269.16"
"Iceland","2095","Constant fertility","384.543"
"Iceland","2095","Instant replacement","484.312"
"Iceland","2095","Zero migration","333.161"
"Iceland","2095","Constant mortality","335.776"
"Iceland","2095","No change","346.594"
"Iceland","2095","Momentum","400.752"
"Iceland","2095","Instant replacement zero migration","437.903"
"Iceland","2095","Median PI","373.622"
"Iceland","2095","Upper 80 PI","449.159"
"Iceland","2095","Lower 80 PI","317.579"
"Iceland","2095","Upper 95 PI","499.297"
"Iceland","2095","Lower 95 PI","285.577"
"Iceland","2094","Medium","374.714"
"Iceland","2094","High","503.793"
"Iceland","2094","Low","272.056"
"Iceland","2094","Constant fertility","385.365"
"Iceland","2094","Instant replacement","482.972"
"Iceland","2094","Zero migration","334.801"
"Iceland","2094","Constant mortality","337.298"
"Iceland","2094","No change","347.859"
"Iceland","2094","Momentum","400.632"
"Iceland","2094","Instant replacement zero migration","437.291"
"Iceland","2094","Median PI","374.713"
"Iceland","2094","Upper 80 PI","448.572"
"Iceland","2094","Lower 80 PI","319.177"
"Iceland","2094","Upper 95 PI","497.767"
"Iceland","2094","Lower 95 PI","287.913"
"Iceland","2093","Medium","375.847"
"Iceland","2093","High","501.998"
"Iceland","2093","Low","274.989"
"Iceland","2093","Constant fertility","386.231"
"Iceland","2093","Instant replacement","481.68"
"Iceland","2093","Zero migration","336.48"
"Iceland","2093","Constant mortality","338.833"
"Iceland","2093","No change","349.132"
"Iceland","2093","Momentum","400.519"
"Iceland","2093","Instant replacement zero migration","436.734"
"Iceland","2093","Median PI","375.847"
"Iceland","2093","Upper 80 PI","448.532"
"Iceland","2093","Lower 80 PI","321.163"
"Iceland","2093","Upper 95 PI","496.532"
"Iceland","2093","Lower 95 PI","290.38"
"Iceland","2092","Medium","377.022"
"Iceland","2092","High","500.289"
"Iceland","2092","Low","277.957"
"Iceland","2092","Constant fertility","387.14"
"Iceland","2092","Instant replacement","480.441"
"Iceland","2092","Zero migration","338.204"
"Iceland","2092","Constant mortality","340.392"
"Iceland","2092","No change","350.426"
"Iceland","2092","Momentum","400.427"
"Iceland","2092","Instant replacement zero migration","436.236"
"Iceland","2092","Median PI","377.022"
"Iceland","2092","Upper 80 PI","448.263"
"Iceland","2092","Lower 80 PI","323.462"
"Iceland","2092","Upper 95 PI","495.003"
"Iceland","2092","Lower 95 PI","293.051"
"Iceland","2091","Medium","378.243"
"Iceland","2091","High","498.672"
"Iceland","2091","Low","280.964"
"Iceland","2091","Constant fertility","388.087"
"Iceland","2091","Instant replacement","479.276"
"Iceland","2091","Zero migration","339.973"
"Iceland","2091","Constant mortality","341.972"
"Iceland","2091","No change","351.741"
"Iceland","2091","Momentum","400.368"
"Iceland","2091","Instant replacement zero migration","435.798"
"Iceland","2091","Median PI","378.244"
"Iceland","2091","Upper 80 PI","447.833"
"Iceland","2091","Lower 80 PI","325.798"
"Iceland","2091","Upper 95 PI","494.037"
"Iceland","2091","Lower 95 PI","295.968"
"Iceland","2090","Medium","379.5"
"Iceland","2090","High","497.134"
"Iceland","2090","Low","284.01"
"Iceland","2090","Constant fertility","389.081"
"Iceland","2090","Instant replacement","478.185"
"Iceland","2090","Zero migration","341.783"
"Iceland","2090","Constant mortality","343.57"
"Iceland","2090","No change","353.083"
"Iceland","2090","Momentum","400.349"
"Iceland","2090","Instant replacement zero migration","435.423"
"Iceland","2090","Median PI","379.5"
"Iceland","2090","Upper 80 PI","447.767"
"Iceland","2090","Lower 80 PI","327.958"
"Iceland","2090","Upper 95 PI","492.928"
"Iceland","2090","Lower 95 PI","299.124"
"Iceland","2089","Medium","380.791"
"Iceland","2089","High","495.665"
"Iceland","2089","Low","287.072"
"Iceland","2089","Constant fertility","390.113"
"Iceland","2089","Instant replacement","477.148"
"Iceland","2089","Zero migration","343.632"
"Iceland","2089","Constant mortality","345.195"
"Iceland","2089","No change","354.455"
"Iceland","2089","Momentum","400.378"
"Iceland","2089","Instant replacement zero migration","435.116"
"Iceland","2089","Median PI","380.791"
"Iceland","2089","Upper 80 PI","447.555"
"Iceland","2089","Lower 80 PI","330.243"
"Iceland","2089","Upper 95 PI","491.322"
"Iceland","2089","Lower 95 PI","301.912"
"Iceland","2088","Medium","382.117"
"Iceland","2088","High","494.274"
"Iceland","2088","Low","290.159"
"Iceland","2088","Constant fertility","391.18"
"Iceland","2088","Instant replacement","476.181"
"Iceland","2088","Zero migration","345.514"
"Iceland","2088","Constant mortality","346.854"
"Iceland","2088","No change","355.868"
"Iceland","2088","Momentum","400.467"
"Iceland","2088","Instant replacement zero migration","434.87"
"Iceland","2088","Median PI","382.117"
"Iceland","2088","Upper 80 PI","447.285"
"Iceland","2088","Lower 80 PI","332.585"
"Iceland","2088","Upper 95 PI","489.43"
"Iceland","2088","Lower 95 PI","304.134"
"Iceland","2087","Medium","383.467"
"Iceland","2087","High","492.961"
"Iceland","2087","Low","293.266"
"Iceland","2087","Constant fertility","392.275"
"Iceland","2087","Instant replacement","475.281"
"Iceland","2087","Zero migration","347.433"
"Iceland","2087","Constant mortality","348.555"
"Iceland","2087","No change","357.313"
"Iceland","2087","Momentum","400.627"
"Iceland","2087","Instant replacement zero migration","434.695"
"Iceland","2087","Median PI","383.467"
"Iceland","2087","Upper 80 PI","447.244"
"Iceland","2087","Lower 80 PI","334.954"
"Iceland","2087","Upper 95 PI","488.056"
"Iceland","2087","Lower 95 PI","306.581"
"Iceland","2086","Medium","384.839"
